district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
San Miguel Joint Union,Almond Acres Charter Academy,1601 L St. San Miguel CA 93451-9107,NA,NA,NA,not tested,,San Luis Obispo County,35.7578956,-120.6977034
Lucia Mar Unified,Arroyo Grande High,495 Valley Road Arroyo Grande CA 93420-3928,NA,NA,FALSE,tested,Arroyo Grande,San Luis Obispo County,35.1145959988087,-120.581171998152
San Luis Coastal Unified,Bishop's Peak Elementary,451 Jaycee Drive San Luis Obispo CA 93405-1245,NA,NA,NA,not tested,San Luis Obispo,San Luis Obispo County,35.29709775,-120.68569548204
Coast Unified,Cambria Grammar,3223 Main Street Cambria CA 93428-3304,NA,NA,NA,not tested,,San Luis Obispo County,35.5532511,-121.0727063
Cayucos Elementary,Cayucos Elementary,301 Cayucos Drive Cayucos CA 93430-1036,NA,NA,NA,not tested,,San Luis Obispo County,35.4517442,-120.9043236
Coast Unified,Coast Union High,2950 Santa Rosa Creek Road Cambria CA 93428-3506,NA,NA,NA,not tested,,San Luis Obispo County,35.5672727,-121.0745491
Lucia Mar Unified,Dana Elementary,920 West Tefft Street Nipomo CA 93444-9624,NA,NA,FALSE,tested,,San Luis Obispo County,35.0351192,-120.4877845
Paso Robles Joint Unified,Daniel Lewis Middle,900 Creston Road Paso Robles CA 93447-3002,NA,NA,FALSE,tested,Paso Robles,San Luis Obispo County,35.5724858,-120.5898183
San Luis Coastal Unified,Del Mar Elementary,501 Sequoia Street Morro Bay CA 93442-1436,NA,NA,NA,not tested,Morro Bay,San Luis Obispo County,35.3970943,-120.858448530622
Lucia Mar Unified,Fairgrove Elementary,2101 The Pike Grover Beach CA 93433-3228,NA,NA,FALSE,tested,,San Luis Obispo County,35.1072932,-120.605358441702
Paso Robles Joint Unified,George H. Flamson Middle,655 24th Street Paso Robles CA 93446-1444,NA,NA,FALSE,tested,El Paso de Robles (Paso Robles),San Luis Obispo County,35.6391254,-120.6932194
Paso Robles Joint Unified,Georgia Brown Elementary,525 36th Street Paso Robles CA 93447-7010,NA,NA,FALSE,tested,El Paso de Robles (Paso Robles),San Luis Obispo County,35.651413,-120.6956166
Lucia Mar Unified,Grover Beach Elementary,365 South 10th Street Grover Beach CA 93433-2418,NA,NA,FALSE,tested,Grover Beach,San Luis Obispo County,35.1186115,-120.6186902
Lucia Mar Unified,Harloe Elementary,901 Fair Oaks Avenue Arroyo Grande CA 93420-3827,9.7,ppb,TRUE,tested,Arroyo Grande,San Luis Obispo County,35.1126258,-120.5924731
San Luis Coastal Unified,Hawthorne Elementary,2125 Story Street San Luis Obispo CA 93401-5232,NA,NA,NA,not tested,San Luis Obispo,San Luis Obispo County,35.2703166,-120.6589758
Lucia Mar Unified,Judkins Middle,680 Wadsworth Street Pismo Beach CA 93449-2359,57.75,ppb,TRUE,tested,Pismo Beach,San Luis Obispo County,35.1467869461654,-120.638990163986
Lucia Mar Unified,Lange (Dorothea) Elementary,1661 Via Alta Mesa Nipomo CA 93444-9344,NA,NA,FALSE,tested,,San Luis Obispo County,35.0162928,-120.516101
Coast Unified,Leffingwell High (Continuation),2820 Santa Rosa Creek Road Cambria CA 93428-3524,NA,NA,NA,not tested,,San Luis Obispo County,35.5672727,-121.0745491
Paso Robles Joint Unified,Liberty High (Continuation),810 Niblick Road Paso Robles CA 93447-7010,NA,NA,FALSE,tested,,San Luis Obispo County,35.61519045,-120.67057124507
Paso Robles Joint Unified,Marie Bauer/Glen Speck School,401 17th St Paso Robles CA 93446,7.5,ppb,TRUE,tested,El Paso de Robles (Paso Robles),San Luis Obispo County,35.6326384,-120.6945996
San Luis Coastal Unified,Morro Bay High,235 Atascadero Road Morro Bay CA 93442-1516,NA,NA,NA,not tested,Morro Bay,San Luis Obispo County,35.3815231,-120.8577301
Lucia Mar Unified,Nipomo Elementary,190 East Price Street Nipomo CA 93444-9099,NA,NA,FALSE,tested,,San Luis Obispo County,35.0429877,-120.4717687
Lucia Mar Unified,Nipomo High,525 North Thompson Ave Nipomo CA 93444-9086,NA,NA,FALSE,tested,,San Luis Obispo County,35.0518997,-120.4860715
Lucia Mar Unified,Ocean View Elementary,1208 Linda Drive Arroyo Grande CA 93420-2466,NA,NA,FALSE,tested,Arroyo Grande,San Luis Obispo County,35.12351015,-120.598377720738
Lucia Mar Unified,Oceano Elementary,1551 17th Street Oceano CA 93445-9303,6.2,ppb,TRUE,tested,,San Luis Obispo County,35.1032872,-120.6121756
San Luis Coastal Unified,Pacheco Elementary,261 Cuesta Drive San Luis Obispo CA 93405-1184,NA,NA,NA,not tested,San Luis Obispo,San Luis Obispo County,35.2962466,-120.675065608807
Paso Robles Joint Unified,Paso Robles High,801 Niblick Road Paso Robles CA 93447-7010,NA,NA,FALSE,tested,,San Luis Obispo County,35.6159033,-120.6698876
Paso Robles Joint Unified,Pat Butler Elementary,700 Nicklaus Street Paso Robles CA 93446-3415,NA,NA,FALSE,tested,El Paso de Robles (Paso Robles),San Luis Obispo County,35.610783,-120.673846817168
Lucia Mar Unified,Paulding Middle,600 Crown Hill Street Arroyo Grande CA 93420-2869,NA,NA,FALSE,tested,Arroyo Grande,San Luis Obispo County,35.1265051,-120.5718258
San Luis Coastal Unified,PEEP - de'Groot - Prepare,1500 Lizzie St. San Luis Obispo CA 93401-3062,NA,NA,NA,not tested,San Luis Obispo,San Luis Obispo County,35.2798667,-120.6490713
NA,Saint Rose Catholic School,900 Tucker Avenue Paso Robles CA 93446,NA,NA,FALSE,tested,El Paso de Robles (Paso Robles),San Luis Obispo County,35.6254612,-120.6726263
Coast Unified,Santa Lucia Middle,2850 Schoolhouse Lane Cambria CA 93428-4108,NA,NA,NA,not tested,,San Luis Obispo County,35.5606597,-121.075811258542
Atascadero Unified,Santa Margarita Elementary,22070 H Street Santa Margarita CA 93453-0380,NA,NA,FALSE,tested,,San Luis Obispo County,35.3945131,-120.600989407026
Lucia Mar Unified,Shell Beach Elementary,2100 Shell Beach Road Pismo Beach CA 93449-1800,NA,NA,FALSE,tested,Pismo Beach,San Luis Obispo County,35.15921105,-120.678901425697
San Luis Coastal Unified,Sinsheimer Elementary,2755 Augusta Street San Luis Obispo CA 93401-5307,NA,NA,NA,not tested,San Luis Obispo,San Luis Obispo County,35.2679673,-120.6435211
San Luis Coastal Unified,Smith (C. L.) Elementary,1375 Balboa Street San Luis Obispo CA 93405-4935,NA,NA,NA,not tested,San Luis Obispo,San Luis Obispo County,35.26136725,-120.6895472388
San Luis Coastal Unified,Teach Elementary,165 Grand Avenue San Luis Obispo CA 93405-1245,NA,NA,NA,not tested,San Luis Obispo,San Luis Obispo County,35.2952364,-120.6534884
NA,Trinity Lutheran School,940 Creston Road Paso Robles CA 93446,NA,NA,FALSE,tested,Paso Robles,San Luis Obispo County,35.5724858,-120.5898183
Templeton Unified,Vineyard Elementary,2121 Vineyard Drive Templeton CA 93465-9412,NA,NA,NA,not tested,,San Luis Obispo County,35.5419622,-120.7431938
Paso Robles Joint Unified,Virginia Peterson Elementary,2501 Beechwood Drive Paso Robles CA 93446-4730,NA,NA,FALSE,tested,El Paso de Robles (Paso Robles),San Luis Obispo County,35.60036965,-120.655643751438
Paso Robles Joint Unified,Winifred Pifer Elementary,1350 Creston Road Paso Robles CA 93447-7010,NA,NA,FALSE,tested,Paso Robles,San Luis Obispo County,35.5724858,-120.5898183
